train_size,num_runs,mean_train_accuracy,variance_train_accuracy,mean_test_accuracy,variance_test_accuracy,mean_train_loss,variance_train_loss,mean_test_loss,variance_test_loss,mean_threshold,variance_threshold,phase_diagram_path,summary_csv,num_qubits,train_size_path,task_dir,runs_json,summary_json,config_json,task_id,state,elapsed,timelimit,elapsed_hours,timelimit_hours
2,3,1.0,0.0,0.9899999999999999,1.232595164407831e-32,0.09496078386472144,6.4197664812907865e-34,0.11046118917718979,6.273165335900678e-28,0.41971102230907276,5.517382991023857e-22,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n6/train_size_2/phase_diagrams/train_size_2_phase_diagram.npz,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n6/train_size_2/summary.csv,6,2,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n6/train_size_2,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n6/train_size_2/runs.json,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n6/train_size_2/summary.json,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n6/train_size_2/paper_reproduction_config.json,0,COMPLETED,00:01:43,12:00:00,0.02861111111111111,12.0
4,3,1.0,0.0,1.0,0.0,0.10100256305264575,1.0560073057727804e-13,0.1104360240637529,7.822053403036922e-12,0.42646564454913927,1.698831482917183e-09,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n6/train_size_4/phase_diagrams/train_size_4_phase_diagram.npz,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n6/train_size_4/summary.csv,6,4,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n6/train_size_4,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n6/train_size_4/runs.json,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n6/train_size_4/summary.json,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n6/train_size_4/paper_reproduction_config.json,1,COMPLETED,00:03:23,12:00:00,0.05638888888888889,12.0
6,3,1.0,0.0,1.0,0.0,0.10395270318295209,3.8127308080063616e-13,0.11042564352866861,7.570553901774239e-12,0.42981351521400485,3.836772041822941e-08,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n6/train_size_6/phase_diagrams/train_size_6_phase_diagram.npz,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n6/train_size_6/summary.csv,6,6,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n6/train_size_6,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n6/train_size_6/runs.json,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n6/train_size_6/summary.json,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n6/train_size_6/paper_reproduction_config.json,2,COMPLETED,00:02:18,12:00:00,0.03833333333333333,12.0
8,3,1.0,0.0,1.0,0.0,0.10570094433834226,2.8063882630941806e-13,0.11041842000519292,7.424090160969334e-12,0.4319855734269548,2.5604785242928684e-07,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n6/train_size_8/phase_diagrams/train_size_8_phase_diagram.npz,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n6/train_size_8/summary.csv,6,8,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n6/train_size_8,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n6/train_size_8/runs.json,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n6/train_size_8/summary.json,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n6/train_size_8/paper_reproduction_config.json,3,COMPLETED,00:02:56,12:00:00,0.048888888888888885,12.0
10,3,1.0,0.0,1.0,0.0,0.10685858900138467,1.6559870725805214e-13,0.11041365872213012,5.437918440133364e-13,0.4332793689258169,2.93193753484765e-08,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n6/train_size_10/phase_diagrams/train_size_10_phase_diagram.npz,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n6/train_size_10/summary.csv,6,10,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n6/train_size_10,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n6/train_size_10/runs.json,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n6/train_size_10/summary.json,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n6/train_size_10/paper_reproduction_config.json,4,COMPLETED,00:04:13,12:00:00,0.07027777777777777,12.0
12,3,1.0,0.0,1.0,0.0,0.1076818588348038,5.337786404397245e-13,0.11041754627427776,1.6625600898594593e-11,0.4337464712572221,6.35181284924546e-07,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n6/train_size_12/phase_diagrams/train_size_12_phase_diagram.npz,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n6/train_size_12/summary.csv,6,12,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n6/train_size_12,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n6/train_size_12/runs.json,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n6/train_size_12/summary.json,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n6/train_size_12/paper_reproduction_config.json,5,COMPLETED,00:04:33,12:00:00,0.07583333333333334,12.0
2,3,1.0,0.0,0.87,0.0,0.2095489137672949,0.0,0.20894848062686525,3.0731973307800104e-23,0.5002421025853837,3.6925560497853437e-19,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n7/train_size_2/phase_diagrams/train_size_2_phase_diagram.npz,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n7/train_size_2/summary.csv,7,2,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n7/train_size_2,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n7/train_size_2/runs.json,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n7/train_size_2/summary.json,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n7/train_size_2/paper_reproduction_config.json,6,COMPLETED,00:02:51,12:00:00,0.0475,12.0
4,3,1.0,0.0,0.92,0.0,0.209784949822828,2.1464759759509674e-12,0.20891507662998152,6.893844604981629e-12,0.4848126594002878,5.721547784870674e-07,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n7/train_size_4/phase_diagrams/train_size_4_phase_diagram.npz,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n7/train_size_4/summary.csv,7,4,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n7/train_size_4,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n7/train_size_4/runs.json,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n7/train_size_4/summary.json,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n7/train_size_4/paper_reproduction_config.json,7,COMPLETED,00:03:30,12:00:00,0.058333333333333334,12.0
6,3,1.0,0.0,0.94,0.0,0.20980900992802332,9.37464844011253e-13,0.2088962435809132,6.226841326589081e-12,0.4776999528560802,3.2514706452282147e-07,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n7/train_size_6/phase_diagrams/train_size_6_phase_diagram.npz,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n7/train_size_6/summary.csv,7,6,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n7/train_size_6,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n7/train_size_6/runs.json,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n7/train_size_6/summary.json,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n7/train_size_6/paper_reproduction_config.json,8,COMPLETED,00:07:35,12:00:00,0.12638888888888888,12.0
8,3,1.0,0.0,0.96,0.0,0.20980360130634604,1.9996183742677256e-12,0.2088854101522116,5.826709657308634e-12,0.4735748900044284,4.396674400675656e-07,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n7/train_size_8/phase_diagrams/train_size_8_phase_diagram.npz,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n7/train_size_8/summary.csv,7,8,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n7/train_size_8,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n7/train_size_8/runs.json,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n7/train_size_8/summary.json,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n7/train_size_8/paper_reproduction_config.json,9,COMPLETED,00:08:46,12:00:00,0.1461111111111111,12.0
