task_id,num_qubits,train_size,state,elapsed,timelimit,elapsed_hours,timelimit_hours
0,6,2,COMPLETED,00:01:43,12:00:00,0.02861111111111111,12.0
1,6,4,COMPLETED,00:03:23,12:00:00,0.05638888888888889,12.0
2,6,6,COMPLETED,00:02:18,12:00:00,0.03833333333333333,12.0
3,6,8,COMPLETED,00:02:56,12:00:00,0.048888888888888885,12.0
4,6,10,COMPLETED,00:04:13,12:00:00,0.07027777777777777,12.0
5,6,12,COMPLETED,00:04:33,12:00:00,0.07583333333333334,12.0
6,7,2,COMPLETED,00:02:51,12:00:00,0.0475,12.0
7,7,4,COMPLETED,00:03:30,12:00:00,0.058333333333333334,12.0
8,7,6,COMPLETED,00:07:35,12:00:00,0.12638888888888888,12.0
9,7,8,COMPLETED,00:08:46,12:00:00,0.1461111111111111,12.0
10,7,10,COMPLETED,00:06:56,12:00:00,0.11555555555555556,12.0
11,7,12,COMPLETED,00:09:47,12:00:00,0.16305555555555556,12.0
12,8,2,COMPLETED,00:08:06,12:00:00,0.135,12.0
13,8,4,COMPLETED,00:14:24,12:00:00,0.24,12.0
14,8,6,COMPLETED,00:37:40,12:00:00,0.6277777777777778,12.0
15,8,8,COMPLETED,00:48:26,12:00:00,0.8072222222222223,12.0
16,8,10,COMPLETED,01:04:16,12:00:00,1.0711111111111111,12.0
17,8,12,COMPLETED,01:17:23,12:00:00,1.2897222222222222,12.0
18,9,2,COMPLETED,01:25:01,12:00:00,1.4169444444444446,12.0
19,9,4,COMPLETED,01:17:09,12:00:00,1.2858333333333332,12.0
20,9,6,COMPLETED,02:05:32,12:00:00,2.0922222222222224,12.0
21,9,8,COMPLETED,02:35:01,12:00:00,2.5836111111111113,12.0
22,9,10,COMPLETED,03:31:49,12:00:00,3.5302777777777776,12.0
23,9,12,COMPLETED,04:00:59,12:00:00,4.016388888888889,12.0
24,10,2,COMPLETED,05:26:20,12:00:00,5.438888888888889,12.0
25,10,4,COMPLETED,08:44:17,12:00:00,8.738055555555555,12.0
26,10,6,TIMEOUT,12:00:24,12:00:00,12.006666666666666,12.0
27,10,8,TIMEOUT,12:00:10,12:00:00,12.002777777777778,12.0
28,10,10,TIMEOUT,12:00:10,12:00:00,12.002777777777778,12.0
29,10,12,TIMEOUT,12:00:10,12:00:00,12.002777777777778,12.0
30,11,2,TIMEOUT,12:00:10,12:00:00,12.002777777777778,12.0
31,11,4,TIMEOUT,12:00:10,12:00:00,12.002777777777778,12.0
32,11,6,TIMEOUT,12:00:01,12:00:00,12.000277777777777,12.0
33,11,8,TIMEOUT,12:00:01,12:00:00,12.000277777777777,12.0
34,11,10,TIMEOUT,12:00:32,12:00:00,12.008888888888889,12.0
35,11,12,TIMEOUT,12:00:32,12:00:00,12.008888888888889,12.0
36,12,2,TIMEOUT,12:00:32,12:00:00,12.008888888888889,12.0
37,12,4,TIMEOUT,12:00:26,12:00:00,12.007222222222222,12.0
38,12,6,TIMEOUT,12:00:22,12:00:00,12.00611111111111,12.0
39,12,8,TIMEOUT,12:00:22,12:00:00,12.00611111111111,12.0
40,12,10,TIMEOUT,12:00:08,12:00:00,12.002222222222223,12.0
41,12,12,TIMEOUT,12:00:43,12:00:00,12.011944444444444,12.0
42,13,2,TIMEOUT,12:00:43,12:00:00,12.011944444444444,12.0
43,13,4,TIMEOUT,12:00:43,12:00:00,12.011944444444444,12.0
44,13,6,TIMEOUT,12:00:43,12:00:00,12.011944444444444,12.0
45,13,8,TIMEOUT,12:00:43,12:00:00,12.011944444444444,12.0
46,13,10,TIMEOUT,12:00:43,12:00:00,12.011944444444444,12.0
47,13,12,TIMEOUT,12:00:43,12:00:00,12.011944444444444,12.0
