model_family,num_qubits,train_size,epochs
su2_qcnn,11,2,50
su2_qcnn,11,4,50
su2_qcnn,11,6,50
su2_qcnn,11,8,50
su2_qcnn,11,10,50
su2_qcnn,11,12,50
su2_qcnn,12,2,50
su2_qcnn,12,4,50
su2_qcnn,12,6,50
su2_qcnn,12,8,50
su2_qcnn,12,10,50
su2_qcnn,12,12,50
su2_qcnn,13,2,50
su2_qcnn,13,4,50
su2_qcnn,13,6,50
su2_qcnn,13,8,50
su2_qcnn,13,10,50
su2_qcnn,13,12,50
hea_qcnn,11,2,50
hea_qcnn,11,4,50
hea_qcnn,11,6,50
hea_qcnn,11,8,50
hea_qcnn,11,10,50
hea_qcnn,11,12,50
hea_qcnn,12,2,50
hea_qcnn,12,4,50
hea_qcnn,12,6,50
hea_qcnn,12,8,50
hea_qcnn,12,10,50
hea_qcnn,12,12,50
hea_qcnn,13,2,50
hea_qcnn,13,4,50
hea_qcnn,13,6,50
hea_qcnn,13,8,50
hea_qcnn,13,10,50
hea_qcnn,13,12,50
