num_qubits,model_family,mean_of_mean_test_accuracy,mean_of_mean_test_loss,mean_of_mean_runtime_seconds
6,hea_qcnn,0.9927777777777779,0.1404855875407315,5.145708021138692
6,su2_qcnn,0.9983333333333334,0.11109714472336801,2.2920930901438825
7,hea_qcnn,0.8261111111111111,0.16802762211913572,6.80136468874601
7,su2_qcnn,0.945,0.20947888885424223,2.812714115716517
8,hea_qcnn,0.9955555555555556,0.16022539124333615,16.051171768146258
8,su2_qcnn,0.9755555555555556,0.17673541613336732,20.793057688615388
9,hea_qcnn,0.8155555555555555,0.16356361561585533,65.55101587504355
9,su2_qcnn,0.975,0.09904913097381136,60.60789916992911
10,hea_qcnn,0.98,0.13888935248392942,387.13738400129495
10,su2_qcnn,0.9883333333333333,0.16303920266368424,380.4826894037736
