backend_name,model_family,num_qubits,train_size,epochs,noise_model_name,noise_strength,seeds_present,seeds,train_loss_mean,train_loss_std,test_loss_mean,test_loss_std,train_accuracy_mean,train_accuracy_std,test_accuracy_mean,test_accuracy_std,build_time_sec_mean,forward_time_sec_mean,gradient_time_sec_mean,train_time_sec_mean,total_time_sec_mean
qiskit_mixed,hea_qcnn,5,4,10,coherent_overrotation,0.0,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,hea_qcnn,5,4,10,coherent_overrotation,0.001,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,hea_qcnn,5,4,10,coherent_overrotation,0.005,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,hea_qcnn,5,4,10,coherent_overrotation,0.01,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,hea_qcnn,5,4,10,coherent_overrotation,0.05,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,hea_qcnn,5,4,10,coherent_overrotation,0.1,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,hea_qcnn,5,8,10,coherent_overrotation,0.0,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,hea_qcnn,5,8,10,coherent_overrotation,0.001,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,hea_qcnn,5,8,10,coherent_overrotation,0.005,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,hea_qcnn,5,8,10,coherent_overrotation,0.01,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,hea_qcnn,5,8,10,coherent_overrotation,0.05,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,hea_qcnn,5,8,10,coherent_overrotation,0.1,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,hea_qcnn,5,12,10,coherent_overrotation,0.0,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,hea_qcnn,5,12,10,coherent_overrotation,0.001,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,hea_qcnn,5,12,10,coherent_overrotation,0.005,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,hea_qcnn,5,12,10,coherent_overrotation,0.01,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,hea_qcnn,5,12,10,coherent_overrotation,0.05,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,hea_qcnn,5,12,10,coherent_overrotation,0.1,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,hea_qcnn,5,16,10,coherent_overrotation,0.0,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,hea_qcnn,5,16,10,coherent_overrotation,0.001,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,hea_qcnn,5,16,10,coherent_overrotation,0.005,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,hea_qcnn,5,16,10,coherent_overrotation,0.01,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,hea_qcnn,5,16,10,coherent_overrotation,0.05,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,hea_qcnn,5,16,10,coherent_overrotation,0.1,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,su2_qcnn,5,4,10,coherent_overrotation,0.0,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,su2_qcnn,5,4,10,coherent_overrotation,0.001,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,su2_qcnn,5,4,10,coherent_overrotation,0.005,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,su2_qcnn,5,4,10,coherent_overrotation,0.01,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,su2_qcnn,5,4,10,coherent_overrotation,0.05,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,su2_qcnn,5,4,10,coherent_overrotation,0.1,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,su2_qcnn,5,8,10,coherent_overrotation,0.0,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,su2_qcnn,5,8,10,coherent_overrotation,0.001,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,su2_qcnn,5,8,10,coherent_overrotation,0.005,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,su2_qcnn,5,8,10,coherent_overrotation,0.01,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,su2_qcnn,5,8,10,coherent_overrotation,0.05,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,su2_qcnn,5,8,10,coherent_overrotation,0.1,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,su2_qcnn,5,12,10,coherent_overrotation,0.0,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,su2_qcnn,5,12,10,coherent_overrotation,0.001,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,su2_qcnn,5,12,10,coherent_overrotation,0.005,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,su2_qcnn,5,12,10,coherent_overrotation,0.01,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,su2_qcnn,5,12,10,coherent_overrotation,0.05,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,su2_qcnn,5,12,10,coherent_overrotation,0.1,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,su2_qcnn,5,16,10,coherent_overrotation,0.0,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,su2_qcnn,5,16,10,coherent_overrotation,0.001,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,su2_qcnn,5,16,10,coherent_overrotation,0.005,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,su2_qcnn,5,16,10,coherent_overrotation,0.01,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,su2_qcnn,5,16,10,coherent_overrotation,0.05,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,su2_qcnn,5,16,10,coherent_overrotation,0.1,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,hea_qcnn,5,4,10,depolarizing,0.0,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,hea_qcnn,5,4,10,depolarizing,0.001,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,hea_qcnn,5,4,10,depolarizing,0.005,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,hea_qcnn,5,4,10,depolarizing,0.01,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,hea_qcnn,5,4,10,depolarizing,0.05,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,hea_qcnn,5,4,10,depolarizing,0.1,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,hea_qcnn,5,8,10,depolarizing,0.0,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,hea_qcnn,5,8,10,depolarizing,0.001,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,hea_qcnn,5,8,10,depolarizing,0.005,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,hea_qcnn,5,8,10,depolarizing,0.01,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,hea_qcnn,5,8,10,depolarizing,0.05,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,hea_qcnn,5,8,10,depolarizing,0.1,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,hea_qcnn,5,12,10,depolarizing,0.0,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,hea_qcnn,5,12,10,depolarizing,0.001,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,hea_qcnn,5,12,10,depolarizing,0.005,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,hea_qcnn,5,12,10,depolarizing,0.01,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,hea_qcnn,5,12,10,depolarizing,0.05,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,hea_qcnn,5,12,10,depolarizing,0.1,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,hea_qcnn,5,16,10,depolarizing,0.0,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,hea_qcnn,5,16,10,depolarizing,0.001,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,hea_qcnn,5,16,10,depolarizing,0.005,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,hea_qcnn,5,16,10,depolarizing,0.01,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,hea_qcnn,5,16,10,depolarizing,0.05,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,hea_qcnn,5,16,10,depolarizing,0.1,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,su2_qcnn,5,4,10,depolarizing,0.0,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,su2_qcnn,5,4,10,depolarizing,0.001,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,su2_qcnn,5,4,10,depolarizing,0.005,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,su2_qcnn,5,4,10,depolarizing,0.01,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,su2_qcnn,5,4,10,depolarizing,0.05,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,su2_qcnn,5,4,10,depolarizing,0.1,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,su2_qcnn,5,8,10,depolarizing,0.0,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,su2_qcnn,5,8,10,depolarizing,0.001,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,su2_qcnn,5,8,10,depolarizing,0.005,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,su2_qcnn,5,8,10,depolarizing,0.01,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,su2_qcnn,5,8,10,depolarizing,0.05,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,su2_qcnn,5,8,10,depolarizing,0.1,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,su2_qcnn,5,12,10,depolarizing,0.0,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,su2_qcnn,5,12,10,depolarizing,0.001,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,su2_qcnn,5,12,10,depolarizing,0.005,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,su2_qcnn,5,12,10,depolarizing,0.01,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,su2_qcnn,5,12,10,depolarizing,0.05,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,su2_qcnn,5,12,10,depolarizing,0.1,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,su2_qcnn,5,16,10,depolarizing,0.0,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,su2_qcnn,5,16,10,depolarizing,0.001,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,su2_qcnn,5,16,10,depolarizing,0.005,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,su2_qcnn,5,16,10,depolarizing,0.01,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,su2_qcnn,5,16,10,depolarizing,0.05,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,su2_qcnn,5,16,10,depolarizing,0.1,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,hea_qcnn,7,4,10,coherent_overrotation,0.0,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,hea_qcnn,7,4,10,coherent_overrotation,0.001,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,hea_qcnn,7,4,10,coherent_overrotation,0.005,3,"0,1,2",,,,,,,,,,,,,
qiskit_mixed,hea_qcnn,7,4,10,coherent_overrotation,0.01,3,"0,1,2",,,,,,,,,,,,,
